Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,CheckGateState,StatisticsSystem,NumGateBlocks,NumInputTypeBlocks,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
13330,3410896,608538624,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13331,1116894,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13332,3355834,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13333,1065578,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13334,3308034,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13335,1908560,608538624,26877952,718561280,816942,0,29295,0,0,0,0,0,0,2334,1728.0,3348.0,0.0,76.0,0.0,1.0
13336,3023430,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13337,713678,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13338,3430042,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13339,1046583,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13340,3613377,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13341,683281,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13342,3561539,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13343,1528857,608538624,26877952,718561280,835677,0,24276,0,0,0,0,0,0,1974,1728.0,3348.0,0.0,76.0,0.0,1.0
13344,3138296,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13345,851977,608538624,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13346,3382082,608538624,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13347,1063304,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13348,3382774,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13349,1031504,608538624,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13350,4253337,608538624,26877952,718561280,3469126,0,26710,0,0,0,0,0,0,1984,1728.0,3348.0,0.0,76.0,0.0,1.0
13351,1089764,608538624,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13352,2847220,608538624,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13353,732755,608538624,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13354,3337249,608538624,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13355,1065929,608538624,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13356,3356285,608538624,26886144,718569472,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13357,1795868,608542720,26877952,718561280,605205,0,27482,0,0,0,0,0,0,1713,1728.0,3348.0,0.0,76.0,0.0,1.0
13358,2970722,608542720,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13359,682460,608542720,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13360,2680066,608542720,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13361,676408,608542720,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13362,3553925,608542720,26877952,718561280,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13363,743775,608538624,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13364,3546752,608538624,26873856,718557184,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13365,1267017,608538624,26873856,735334400,562685,0,22202,0,0,0,0,0,0,1904,1728.0,3348.0,0.0,76.0,0.0,1.0
13366,2997241,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13367,664586,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13368,2834706,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13369,693500,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
13370,3550529,612732928,26873856,735334400,0,0,0,0,0,0,0,0,0,0,1728.0,3348.0,0.0,76.0,0.0,1.0
