Frame Number;Main Thread;System Used Memory;GC Reserved Memory;Total Reserved Memory;ServerFixedUpdate;TerrainGeneration;PlayerTerrainGenCheck;StructureGeneration;TerrainLogicSystem;GetUpdates;ReevaluatePropagateMarker;PropagateLogicState;CheckGateState;StatisticsSystem;NumGateBlocks;NumInputTypeBlocks;Number of Terrain Areas (Client);Number of Terrain Areas (Server);Number of Players (Client);Number of Players (Server);
244;213010;504098816;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
245;202259;504098816;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
246;954269;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
247;212148;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
248;189125;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
249;183314;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
250;198963;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
251;189075;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
252;184826;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
253;184456;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
254;183214;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
255;197290;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
256;188303;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
257;181240;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
258;181110;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
259;191920;504369152;10883072;432033792;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;
