Frame Number,Main Thread,System Used Memory,GC Reserved Memory,Total Reserved Memory,ServerFixedUpdate,TerrainGeneration,PlayerTerrainGenCheck,StructureGeneration,TerrainLogicSystem,GetUpdates,ReevaluatePropagateMarker,PropagateLogicState,PropInputBlocks,PropActiveLogicBlocks,CheckGateState,StatisticsSystem,GhostSimulationSystemGroup,PredictedSimulationSystemGroup,Number of Terrain Areas (Client),Number of Terrain Areas (Server),Number of Players (Client),Number of Players (Server)
15446,3841815,20911419392,18894848,73624358912,2228609,0,671029,77025,0,0,0,0,0,0,0,5019,0,0,0.0,267.0,0.0,60.0
15447,4057639,20920582144,18894848,73657913344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15448,3421868,20927115264,18894848,73691467776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15449,3248342,20929458176,18894848,73691467776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15450,923592,20929458176,18894848,73691467776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15451,3470819,20929458176,18894848,73691467776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15452,3529549,20929458176,18894848,73691467776,1888311,0,645902,57949,0,0,0,0,0,0,0,3557,0,0,0.0,267.0,0.0,60.0
15453,3683177,20940210176,18894848,73741799424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15454,1821997,20942307328,18894848,73741799424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15455,3609990,20946747392,18894848,73758576640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15456,883297,20946747392,18894848,73758576640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15457,3453807,20946747392,18894848,73758576640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15458,3607725,20946747392,18894848,73758576640,1951720,0,652143,53180,0,0,0,0,0,0,0,2985,0,0,0.0,267.0,0.0,60.0
15459,3839711,20959838208,18894848,73808908288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15460,2829366,20968493056,18894848,73842462720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15461,3685182,20973735936,18894848,73859239936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15462,2950463,20973735936,18894848,73859239936,1831785,0,659637,53721,0,0,0,0,0,0,0,3657,0,0,0.0,267.0,0.0,60.0
15463,3850210,20982378496,18894848,73892794368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15464,2476424,20995231744,18894848,73943126016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15465,1102247,20995502080,18894848,73943126016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15466,3833940,21001003008,18894848,73959903232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15467,889328,21001273344,18894848,73959903232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15468,3829862,21001814016,18894848,73959903232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15469,9575407,21004800000,18890752,73959899136,8566866,0,654167,64390,0,0,0,0,0,0,0,3506,0,0,0.0,267.0,0.0,60.0
15470,3721629,21013450752,18890752,73993453568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15471,2419167,21021839360,18890752,74027008000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15472,5915504,21027274752,18890752,74043785216,4118384,0,677310,57428,0,0,0,0,0,0,0,3367,0,0,0.0,267.0,0.0,60.0
15473,3999100,21034061824,18890752,74077339648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15474,2473939,21041676288,18890752,74110894080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15475,3375881,21045870592,18890752,74110894080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15476,2774844,21045870592,18890752,74110894080,1775249,0,649599,54121,0,0,0,0,0,0,0,3416,0,0,0.0,267.0,0.0,60.0
15477,3738522,21054758912,18890752,74144448512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15478,2520006,21054758912,18890752,74144448512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15479,1321398,21054758912,18890752,74144448512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15480,6147749,21054758912,18890752,74144448512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15481,47885734,21067599872,18890752,74194780160,39284885,0,667812,80370,0,0,0,0,0,0,0,4539,0,0,0.0,267.0,0.0,60.0
15482,100468757,21090033664,18890752,74295443456,96131803,0,1314916,141245,0,0,0,0,0,0,0,6072,0,0,0.0,267.0,0.0,60.0
15483,16255124,21099212800,18890752,74312220672,8492157,0,3550138,336960,0,0,0,0,0,0,0,14287,0,0,0.0,267.0,0.0,60.0
15484,13741340,21122428928,18894848,74396110848,8757043,0,852960,78717,0,0,0,0,0,0,0,5370,0,0,0.0,267.0,0.0,60.0
15485,13043301,21137354752,18894848,74446442496,8347585,0,658996,52709,0,0,0,0,0,0,0,4388,0,0,0.0,267.0,0.0,60.0
15486,13717877,21169582080,27803648,74572791808,8226979,0,639228,62768,0,0,0,0,0,0,0,4107,0,0,0.0,267.0,0.0,60.0
15487,10134025,21181935616,27803648,74606346240,8263918,0,851467,288250,0,0,0,0,0,0,0,4509,0,0,0.0,267.0,0.0,60.0
15488,16557462,21224833024,27803648,74757341184,11949620,0,865914,114585,0,0,0,0,0,0,0,4479,0,0,0.0,267.0,0.0,60.0
15489,12085034,21256265728,27803648,74858004480,7940311,0,856005,114164,0,0,0,0,0,0,0,4298,0,0,0.0,267.0,0.0,60.0
15490,5710980,21284306944,27803648,74958667776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15491,8457941,21298159616,27807744,75009003520,5343802,0,852378,108724,0,0,0,0,0,0,0,4468,0,0,0.0,267.0,0.0,60.0
15492,2928752,21306798080,27807744,75042557952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
15493,3889324,21315686400,27807744,75076112384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,267.0,0.0,60.0
